FilingDate,0,1.2466700077056885,2.6766700744628906,0.6800000071525574,0.1166670024394989,Date of filing:,0,1.973330020904541,2.680000066757202,0.586667001247406,0.08666659891605377,13.02.2008
AbstractFL,-1,0.0,0.0,0.0,0.0,,0,1.4033299684524536,5.233329772949219,2.4466700553894043,0.1166670024394989,Rigid capsule (1 ) for coffee orothersoluble prod
Classification,0,4.429999828338623,1.8533300161361694,0.3233340084552765,0.09000000357627869,Int Cl.:,0,4.426670074462891,1.9933300018310547,1.073330044746399,0.1033329963684082,B65D 85/804 (2””‘·”’)
RepresentiveFL,0,4.429999828338623,4.016670227050781,0.8133339881896973,0.11666599661111832,Representative:,0,5.300000190734863,4.016670227050781,1.2033300399780273,0.11666599661111832,"Mangini, Simone et al"
ApplicationNumber,0,1.2400000095367432,2.346669912338257,1.0433299541473389,0.1166670024394989,Application number:,0,2.3299999237060547,2.3499999046325684,0.6266670227050781,0.08666680008172989,08151351.7
PublicationDate,0,1.2466700077056885,1.8566700220108032,1.0033299922943115,0.1166670024394989,Date of publication:,0,1.2400000095367432,2.023329973220825,0.5899999737739563,0.08666659891605377,27.08.2008
ApplicantFL,0,4.423329830169678,3.033329963684082,0.5133330225944519,0.1166670024394989,Applicant:,0,4.980000019073486,3.033329963684082,0.8399999737739563,0.1166670024394989,Arnoplast S.r.l.
TitleFL,-1,0.0,0.0,0.0,0.0,,0,1.399999976158142,4.86667013168335,4.746669769287109,0.1333329975605011,Rigid capsule for coffee or other soluble products with improved lower seal
InventorFL,0,4.429999828338623,3.523329973220825,0.44333401322364807,0.08999989926815033,Inventor:,0,4.929999828338623,3.523329973220825,0.9866669774055481,0.10999999940395355,"Rondelli, Raffaele"
Priority,0,1.25,4.183330059051514,0.3833329975605011,0.1166670024394989,Priority:,0,1.7333300113677979,4.183330059051514,1.6299999952316284,0.0900001972913742,14.02.2007 IT BO20070014 U
PublicationNumber,-1,0.0,0.0,0.0,0.0,,0,5.546669960021973,1.1100000143051147,1.5933300256729126,0.163332998752594,EP 'I 961 676 A2
