5.371725055534322024e+01,2.533914423569953556e+00,2.007098171051870139e+01
4.201519655516833041e+01,2.019654490510845335e+00,1.791063315490367813e+01
4.314681464324405624e+01,2.045017387959433108e+00,1.812012778949383573e+01
4.223772589876114125e+01,2.014352507367902945e+00,1.793190513001252384e+01
4.407341532693919817e+01,2.096946033077983884e+00,1.972278038212868978e+01
4.252934236114174382e+01,2.019834302250274050e+00,1.882689794780617376e+01
4.813004370903195195e+01,2.309289739523364915e+00,2.110377436336170831e+01
4.232344231922661493e+01,2.028396707392403187e+00,1.851743578606692608e+01
4.257526701838060035e+01,2.038522407293385186e+00,1.881308405459867572e+01
4.246255174205953153e+01,2.029939886225747614e+00,1.856307266241674370e+01
